item,rub,share_opex_calc
"Цена срезки на 4 тонны",100000.00,0.3992015968063872
"Канистры для масла",2000.00,0.007984031936127744
"Канистры для гидролата",12500.00,0.0499001996007984
"Газ и эектричество и аренда",30000.00,0.11976047904191617
"рабочая сила по срезке",45000.00,0.17964071856287425
"ГСМ на трактор",4000.00,0.015968063872255488
"Технолог и менеджер проекта",32000.00,0.1277445109780439
"Непредвиденные расходы",25000.00,0.0998003992015968
