item,rub
"Дистилятор",50000.00
"Доработка",20000.00
"Горелка",15000.00
"Делительная воронка",10000.00
"Болер (10%)",2000.00
"Кап стройка (и рабочая сила и материалы)",10000.00
"Логистика",15000.00
